Категорія,Назва,Бренд,Ціна,Наявність,Стан,Гарантія,Фото (ім'я файлу або посилання),Опис
"Інструменти, Мультиметри, Тесте","Тестер кабельний Merlion NSHL468BNC, RJ-11+BNC",,246,в наявності,нове,,tester-kabelnyi-merlion-nshl468bnc-rj-11-bnc.png,"Тестер кабельний Merlion NSHL468BNC, RJ-11+BNC - корисна річ як для професіонала, так і для звичайної людини. Перевіряє кабелі на справність та різні важливі показники. Можливості тестера: • ефективна перевірка битих дротів, невідповідності обтиску, коротких замикань тощо. • тестування кабелю з RJ11 конекторами +BNC • тестування екранованого та неекранованого кабелю • для проведення тестування віддаленої точки підключення є виносний блок з RJ11 роз'ємами + BNC • тестування наявності з'єднання між двома точками підключення з дальністю до 100м (305футів) • показувати обрив окремої лінії у кабелі • по 9 світлодіодів, що відображають, який саме провід ""пробить"" на обох частинах тестера • тестування кожної жили окремо Характеристики: • Рознімання: 2 x RJ11, 2 x BNC • Харчування: 6F22 9V (Крона) • Колір: чорний/білий Комплектація: • Тестер (Майстер + пульт) • Інструкція Батарея в комплект не входить!"
"Інструменти, Мультиметри, Тесте","Тестер кабельний Merlion NSHL468U, RJ-45 + USB",,273,в наявності,нове,,tester-kabelnyi-merlion-nshl468u-rj-45-usb.png,"Кабельний тестер Merlion NSHL468U – корисна річ як для професіонала, так і для звичайної людини. Перевіряє кабелі на справність та різні важливі показники. Можливості тестера: захист від ударів та падінь, підходить для будівельного майданчика. ефективна перевірка битих дротів, невідповідності обтиску, коротких замикань тощо. тестування кабелю з USB, RJ45 конекторами тестування екранованого та неекранованого кабелю для проведення тестування віддаленої точки підключення є виносний блок із USB, RJ45 роз'ємами. показувати обрив окремої лінії у кабелі по 9 світлодіодів, що відображають, який саме провід ""пробить"" на обох частинах тестера Характеристики: Роз'єми: RJ45, USB Робоча температура: від -10 ° C до +60 ° C Матеріал: пластик Колір - чорно-жовтий Живлення: 6F22 9V (Крона) Комплектація: Тестер (Майстер + пульт) Інструкція Батарея в комплект не входить!"
Витратні матеріали,"Тримач запобіжника (1-0905) Fuse, 5х20мм, з кабелем",,,під замовлення,нове,,trymach-zapobizhnyka-1-0905-fuse-5h20mm-z-kabelem.jpg,"Утримувач запобіжника (Fuse) TCOM призначений для утримання, захисту та монтажу запобіжника. Круглі форми. З кабелем. Характеристики: Монтаж: на провід З кабелем Колір чорний"
Аксесуари до мобільних телефоні,Універсальний адаптер Hoco UA46B: USB Male до Type-C Female USB3.0,Hoco,90,в наявності,нове,,universalnyi-adapter-hoco-ua46b-usb-male-do-type-c-female-us.jpg,"Перехідник Hoco UA46B USB-A Male to Type-C Female USB 3.0 призначений для підключення пристроїв і кабелів з роз'ємом USB Type-C до стандартного порту USB-A . Адаптер підтримує високошвидкісну передачу даних, швидке заряджання і відрізняється компактним, міцним корпусом, що робить його зручним аксесуаром для щоденного використання. Корпус виконаний з алюмінієвого сплаву з зносостійким покриттям. Завдяки невеликим розмірам і вбудованому карабіну з петлею перехідник зручно носити разом з ключами або закріпити на рюкзаку. Синій LED-індикатор відображає активність підключення. Підтримка Plug & Play дозволяє використовувати адаптер без встановлення драйверів."
Накопичувачи,Флеш пам'ять USB 32GB T&G 114 Metal Series (TG114-32G),,174,в наявності,нове,,flesh-pamiat-usb-32gb-t-g-114-metal-series-tg114-32g.jpg,"Флешка T&G 114 Metal Series з об'ємом 32 ГБ – це стильний та надійний пристрій для зберігання даних. З інтерфейсом USB 2.0 вона легко підключається до більшості пристроїв, забезпечуючи стабільну роботу. Металевий корпус не лише надає флешці елегантного зовнішнього вигляду, але й робить її більш довговічною та стійкою до пошкоджень. Відмінний вибір для користувачів, які цінують надійність та стиль. Характеристики: Об'єм пам'яті: 32 ГБ Інтерфейс: USB 2.0 Матеріал корпусу: метал"
Накопичувачи,Флеш пам'ять USB 32GB T&G 121 Vega Series Black (TG121-32GBBK),,174,в наявності,нове,,flesh-pamiat-usb-32gb-t-g-121-vega-series-black-tg121-32gbbk.jpg,"Флешка T&G 121 Vega Series з об'ємом 32 ГБ – це зручний та доступний пристрій для зберігання даних. З інтерфейсом USB 2.0, вона забезпечує надійне підключення та сумісність з більшістю пристроїв. Пластиковий корпус робить її легкою та зручною для повсякденного використання, а елегантний чорний колір надає стильного вигляду. Це ідеальне рішення для зберігання та передачі документів, фото та інших файлів. Характеристики: Інтерфейс: USB 2.0 Об'єм пам'яті: 32 ГБ Матеріал корпусу: пластик К олір: чорний"
Накопичувачи,Флеш пам'ять USB 64GB T&G 121 Vega Series Grey (TG121-64GBGY),,410,в наявності,нове,,flesh-pamiat-usb-64gb-t-g-121-vega-series-grey-tg121-64gbgy.jpg,"Флешка T&G 121 Vega Series Grey з об'ємом 64 ГБ - це зручний та стильний пристрій для зберігання даних. З інтерфейсом USB 2.0 флешка сумісна з більшістю пристроїв і забезпечує стабільне з'єднання для швидкої передачі файлів. Металевий та пластиковий корпус забезпечує довговічність та захист даних, а сірий колір надає пристрою сучасного вигляду. Відмінно підходить для зберігання документів, фотографій та відео. Характеристики: Бренд: T&G Об'єм пам'яті: 64 ГБ Інтерфейс: USB 2.0 Матеріал корпусу: метал, пластик Колір: сірий"
Накопичувачи,Флеш-накопичувач USB 128GB GOODRAM UTS2 (Twister) Black (UTS2-1280K0R11),,426,в наявності,нове,,flesh-nakopychuvach-usb-128gb-goodram-uts2-twister-black-uts.jpg,"З GOODRAM UTS2 проблеми втраченого ковпачка просто не існує. USB-флеш-накопичувач характеризується неперевершеним досі механізмом відкриття. Корпус має просту, класичну форму, а яскраві кольори надають йому оригінальності. Класичний корпус GODORAM UCO2 робить USB-флеш-накопичувач привабливим для прихильників практичних рішень. Продуманий дизайн накопичувача GOODRAM UCO2 дозволяє прикріпити цей USB-флеш-накопичувач до шнурка, що дозволяє користуватися ним у будь-який час. Поворотний механізм закриття USB і відсутність ковпачка задовольнить потреби навіть найбільш розсіяних користувачів. Характеристики Интерфейс: USB 2.0 Объем памяти: 128 ГБ Скорость считывания: 20 Мб/сек Скорость записи: 5 Мб/сек Физические характеристики: Материал корпуса: пластик"
Накопичувачи,Флеш-накопичувач USB 128GB T&G 121 Vega Series Black (TG121-128GB2BK),,345,в наявності,нове,,flesh-nakopychuvach-usb-128gb-t-g-121-vega-series-black-tg12.png,"USB Flash - накопичувач T&G 121 Vega series - це накопичувач нового покоління, який ви використовуватимете щодня завдяки його вражаючій швидкості та ефектному дизайну. Він комфортно лежить у руці, його корпус – це втілення надійності, в якому гармонійно поєднуються стиль, швидкість та довговічність. Миттєве резервування даних. Хороша швидкість читання даних звільнить вам більше часу для роботи, гри, перегляду відео та творчості. Ваші файли надійно захищені завжди та скрізь, ви можете довірити збереження ваших цінних даних. Міцний корпус забезпечить недоторканність та безпеку ваших даних. Завдяки компактним розмірам він легко поміститься у сумці чи кишені верхнього одягу. USB Flash Накопичувачі T&G - ідеальне поєднання чудового дизайну, надійності та оптимальне рішення для копіювання, перенесення та зберігання інформації. USB Flash - накопичувач T&G 121 Vega series - сумісний з будь-яким пристроєм, що зчитує, оснащеним USB-2.0 портом."
Накопичувачи,Флеш-накопичувач USB 3.0 1TB Metal Lenovo U Disk + Перехідник USB-Type-c,,,під замовлення,нове,,flesh-nakopychuvach-usb-3-0-1tb-metal-lenovo-u-disk-perehidn.jpg,"Функції: Високошвидкісний порт USB 3.0 із можливістю гарячої заміни. Фізичний диск не потрібний. Підтримує усі сучасні комп'ютерні системи. Зберігайте свої фотографії, відео та пісні, а також будь-які дані. Підтримує Windows 7/8/10, Windows Vista, Windows 2000, Mac OS X, Linux, Android телефони."
Накопичувачи,Флеш-накопичувач USB 3.0 2TB Metal Lenovo U Disk + Перехідник USB-Type-c,,,під замовлення,нове,,flesh-nakopychuvach-usb-3-0-2tb-metal-lenovo-u-disk-perehidn.jpg,"Функції: Високошвидкісний порт USB 3.0 із можливістю гарячої заміни. Фізичний диск не потрібний. Підтримує усі сучасні комп'ютерні системи. Зберігайте свої фотографії, відео та пісні, а також будь-які дані. Підтримує Windows 7/8/10, Windows Vista, Windows 2000, Mac OS X, Linux, Android телефони."
Накопичувачи,Флеш-накопичувач USB 3.0 512GB Metal Lenovo U Disk + Перехідник USB-Type-c,,,під замовлення,нове,,flesh-nakopychuvach-usb-3-0-512gb-metal-lenovo-u-disk-perehi.jpg,"Функції: Високошвидкісний порт USB 3.0 із можливістю гарячої заміни. Фізичний диск не потрібний. Підтримує усі сучасні комп'ютерні системи. Зберігайте свої фотографії, відео та пісні, а також будь-які дані. Підтримує Windows 7/8/10, Windows Vista, Windows 2000, Mac OS X, Linux, Android телефони."
Накопичувачи,Флеш-накопичувач USB 3.0 512MB Metal Xiaomi U Disk,Xiaomi,,під замовлення,нове,,flesh-nakopychuvach-usb-3-0-512mb-metal-xiaomi-u-disk.jpg,"Функції: Високошвидкісний порт USB 3.0 із можливістю гарячої заміни. Фізичний диск не потрібний. Підтримує усі сучасні комп'ютерні системи. Зберігайте свої фотографії, відео та пісні, а також будь-які дані. Підтримує Windows 7/8/10, Windows Vista, Windows 2000, Mac OS X, Linux, Android телефони."
Накопичувачи,Флеш-накопичувач USB 3.2 32G Kingston DataTraveler Exodia Black/White (DTX/32GB),Kingston,174,в наявності,нове,,flesh-nakopychuvach-usb-3-2-32g-kingston-datatraveler-exodia.jpg,"Накопичувач DataTraveler Exodia компанії Kingston забезпечує продуктивність USB 3.2 Gen 1 для простого доступу до ноутбуків, настільних ПК, моніторів та інших цифрових пристроїв. DT Exodia дозволяє швидко передавати та зручно зберігати документи, музику, відеофайли тощо. Практична конструкція та стильні кольори роблять цей накопичувач ідеальним рішенням для повсякденного використання на роботі, вдома, у школі чи будь-якому іншому місці. Доступні варіанти ємності DT Exodia до 256 ГБ. Накопичувач забезпечується п'ятирічною гарантією, безкоштовною технічною підтримкою та відрізняється легендарною надійністю, характерною для всієї продукції Kingston."
Накопичувачи,Флеш-накопичувач USB 3.2 64GB Kingston DataTraveler Exodia S Black (DTXS/64GB),Kingston,399,в наявності,нове,,flesh-nakopychuvach-usb-3-2-64gb-kingston-datatraveler-exodi.jpg,"USB-накопичувач DataTraveler Exodia S з поворотною кришкою у яскравих кольорах Kingston DataTraveler Exodia S – це сумісний із USB 3.2 Gen 1 накопичувач базового рівня для ноутбуків, настільних ПК та інших цифрових пристроїв. DT Exodia S дозволяє легко переносити та зручно зберігати документи, відео, музику та багато іншого. Накопичувачі DT Exodia S оснащені поворотною кришкою, виконаною в різних кольорах, залежно від ємності, яка старшій моделі досягає 512 ГБ. Завдяки своєму дизайну накопичувач є зручним рішенням для зберігання даних на роботі, в школі або вдома. DT Exodia S супроводжується 5-річною гарантією, безкоштовною технічною підтримкою та легендарною надійністю Kingston. Поворотна кришка, що захищає USB-роз'єм олія кришки позначає ємність накопичувача Особливості DataTraveler Exodia S Функціональний дизайн – поворотна кришка для легкого доступу та захисту USB-роз'єму. Унікальність та практичність – Яскравий USB 3.2 Gen 1 накопичувач дозволяє легко переносити файли."
Накопичувачи,Флеш-накопичувач USB 32GB 3.0 GOODRAM UTS2 (Twister) Black (UTS30320K0R11),,210,в наявності,нове,,flesh-nakopychuvach-usb-32gb-3-0-goodram-uts2-twister-black.jpg,"Основні характеристики Інтерфейс USB 3.0 Об'єм пам'яті 32 ГБ Швидкість зчитування 60 Мб/с Швидкість запису 20 Мб/с Опис Універсальність та функціональність – це найважливіші властивості GOODRAM UTS3. Міцний корпус з металевою поворотною скобою не тільки чудово захищає дані, що зберігаються, але й дозволяє не турбуватися про ковпачок, який може загубитися. GOODRAM UTS3, на відміну від аналогічних продуктів на ринку, характеризується фірмовими компонентами та довічною гарантією, а також швидким інтерфейсом 3.0. GOODRAM UTS3 оснащений сучасним інтерфейсом USB 3.0, що дозволило значно збільшити швидкість, порівняно з попередніми рішеннями. Завдяки швидкості передачі, ви заощаджуєте час і можете швидко скопіювати свої дані. Ви можете скористатись пам'яттю в пристроях, оснащених як портом USB 3.0, так і старою версією USB-роз'єму."
Накопичувачи,Флеш-накопичувач USB 32GB GOODRAM UCO2 (Colour Mix) BlackWhite (UCO2-0320KWR11),,178,в наявності,нове,,flesh-nakopychuvach-usb-32gb-goodram-uco2-colour-mix-blackwh.jpg,"З GOODRAM UCO2 проблеми втраченого ковпачка просто не існує. USB-флеш-накопичувач характеризується неперевершеним досі механізмом відкриття. Корпус має просту, класичну форму, а яскраві кольори надають йому оригінальності. Класичний корпус GODORAM UCO2 робить USB-флеш-накопичувач привабливим для прихильників практичних рішень. Продуманий дизайн накопичувача GOODRAM UCO2 дозволяє прикріпити цей USB-флеш-накопичувач до шнурка, що дозволяє користуватися ним у будь-який час. Поворотний механізм закриття USB і відсутність ковпачка задовольнить потреби навіть найбільш розсіяних користувачів. =""0""> Інтерфейс: USB 2.0 Об'єм пам'яті: 32 ГБ Швидкість зчитування: 20 Мб/сек Швидкість запису: 5 Мб/сек Фізичні характеристики: Матеріал корпуси: пластик"
Накопичувачи,Флеш-накопичувач USB 32GB GOODRAM UCO2 (Colour Mix) Blue/White (UCO2-0320MXR11),,178,в наявності,нове,,flesh-nakopychuvach-usb-32gb-goodram-uco2-colour-mix-blue-wh.jpg,"З GOODRAM UCO2 проблеми втраченого ковпачка просто не існує. USB-флеш-накопичувач характеризується неперевершеним досі механізмом відкриття. Корпус має просту, класичну форму, а яскраві кольори надають йому оригінальності. Класичний корпус GODORAM UCO2 робить USB-флеш-накопичувач привабливим для прихильників практичних рішень. Продуманий дизайн накопичувача GOODRAM UCO2 дозволяє прикріпити цей USB-флеш-накопичувач до шнурка, що дозволяє користуватися ним у будь-який час. Поворотний механізм закриття USB і відсутність ковпачка задовольнить потреби навіть найбільш розсіяних користувачів. =""0""> Інтерфейс: USB 2.0 Об'єм пам'яті: 32 ГБ Швидкість зчитування: 20 Мб/сек Швидкість запису: 5 Мб/сек Фізичні характеристики: Матеріал корпуси: пластик"
Накопичувачи,Флеш-накопичувач USB 32GB GOODRAM UME2 White (UME2-0320W0R11),,204,в наявності,нове,,flesh-nakopychuvach-usb-32gb-goodram-ume2-white-ume2-0320w0r.jpg,"UME2 – це поєднання класичного дизайну та яскравих кольорів корпусу. Ковпачок з опуклим антиковзним візерунком полегшує відкриття флешки у будь-якій ситуації. Знявши ковпачок, його можна прикріпити до іншого кінця корпусу - таким чином не загубиться. Перфорація, яка дозволяє прикріпити шнурок - ідеальне рішення для тих, хто любить, коли пам'ять поруч. Накопичувачі UME2 представлені моделями об'ємами з 8 Гб по 128 Гб. Компоненти, що використовуються, дозволяють досягти швидкості читання до 20 МБайт/с і запису до 5 МБайт/с. На продукт UME2, як і інші накопичувачі GOODRAM, надається довічна гарантія. Данные товара: Наименование: Флеш-накопитель USB 32GB GOODRAM UME2 White (UME2-0320W0R11) Код товара: 286316 Артикул: UME2-0320W0R11 Код ВЭД: 8523511000 Производитель: Goodram Срок гарантии: 99 мес. Основные характеристики: Объем памяти: 32 ГБ Скорость записи: 5 Мб/сек Скорость считывания: 20 Мб/сек Интерфейс: USB 2.0"
Накопичувачи,Флеш-накопичувач USB 32GB GOODRAM UTS2 (Twister) Black (UTS2-0320K0R11),,204,в наявності,нове,,flesh-nakopychuvach-usb-32gb-goodram-uts2-twister-black-uts2.jpg,"З GOODRAM UTS2 проблеми втраченого ковпачка просто не існує. USB-флеш-накопичувач характеризується неперевершеним досі механізмом відкриття. Корпус має просту, класичну форму, а яскраві кольори надають йому оригінальності. Класичний корпус GODORAM UCO2 робить USB-флеш-накопичувач привабливим для прихильників практичних рішень. Продуманий дизайн накопичувача GOODRAM UCO2 дозволяє прикріпити цей USB-флеш-накопичувач до шнурка, що дозволяє користуватися ним у будь-який час. Поворотний механізм закриття USB і відсутність ковпачка задовольнить потреби навіть найбільш розсіяних користувачів. =""0""> Інтерфейс: USB 2.0 Об'єм пам'яті: 32 ГБ Швидкість зчитування: 20 Мб/сек Швидкість запису: 5 Мб/сек Фізичні характеристики: Матеріал корпуси: пластик"
Накопичувачи,Флеш-накопичувач USB 64GB GOODRAM UCO2 (Colour Mix) BlackWhite (UCO2-0640KWR11),,255,в наявності,нове,,flesh-nakopychuvach-usb-64gb-goodram-uco2-colour-mix-blackwh.jpg,"З GOODRAM UCO2 проблеми втраченого ковпачка просто не існує. USB-флеш-накопичувач характеризується неперевершеним досі механізмом відкриття. Корпус має просту, класичну форму, а яскраві кольори надають йому оригінальності. Класичний корпус GODORAM UCO2 робить USB-флеш-накопичувач привабливим для прихильників практичних рішень. Продуманий дизайн накопичувача GOODRAM UCO2 дозволяє прикріпити цей USB-флеш-накопичувач до шнурка, що дозволяє користуватися ним у будь-який час. Поворотний механізм закриття USB і відсутність ковпачка задовольнить потреби навіть найбільш розсіяних користувачів. =""0""> Інтерфейс: USB 2.0 Об'єм пам'яті: 64 ГБ Швидкість зчитування: 20 Мб/сек Швидкість запису: 5 Мб/сек Фізичні характеристики: Матеріал корпуси: пластик"
Накопичувачи,Флеш-накопичувач USB 64GB GOODRAM UTS2 (Twister) Black (UTS2-0640K0R11),,467,в наявності,нове,,flesh-nakopychuvach-usb-64gb-goodram-uts2-twister-black-uts2.jpg,"З GOODRAM UTS2 проблеми втраченого ковпачка просто не існує. USB-флеш-накопичувач характеризується неперевершеним досі механізмом відкриття. Корпус має просту, класичну форму, а яскраві кольори надають йому оригінальності. Класичний корпус GODORAM UCO2 робить USB-флеш-накопичувач привабливим для прихильників практичних рішень. Продуманий дизайн накопичувача GOODRAM UCO2 дозволяє прикріпити цей USB-флеш-накопичувач до шнурка, що дозволяє користуватися ним у будь-який час. Поворотний механізм закриття USB і відсутність ковпачка задовольнить потреби навіть найбільш розсіяних користувачів. =""0""> Інтерфейс: USB 2.0 Об'єм пам'яті: 64 ГБ Швидкість зчитування: 20 Мб/сек Швидкість запису: 5 Мб/сек Фізичні характеристики: Матеріал корпуси: пластик"
Накопичувачи,Флеш-накопичувач USB 64GB T&G 121 Vega Series Black (TG121-64GBBK),,410,в наявності,нове,,flesh-nakopychuvach-usb-64gb-t-g-121-vega-series-black-tg121.jpg,"USB Flash - накопичувач T&G 121 Vega series - це накопичувач нового покоління, який ви використовуватимете щодня завдяки його вражаючій швидкості та ефектному дизайну. Він комфортно лежить у руці, його корпус – це втілення надійності, в якому гармонійно поєднуються стиль, швидкість та довговічність. Миттєве резервування даних. Хороша швидкість читання даних звільнить вам більше часу для роботи, гри, перегляду відео та творчості. Ваші файли надійно захищені завжди та скрізь, ви можете довірити збереження ваших цінних даних. Міцний корпус забезпечить недоторканність та безпеку ваших даних. Завдяки компактним розмірам він легко поміститься у сумці чи кишені верхнього одягу. USB Flash Накопичувачі T&G - ідеальне поєднання чудового дизайну, надійності та оптимальне рішення для копіювання, перенесення та зберігання інформації. USB Flash - накопичувач T&G 121 Vega series - сумісний з будь-яким пристроєм, що зчитує, оснащеним USB-2.0 портом."
Накопичувачи,Флеш-накопичувач USB3.0 128G Kingston DataTraveler 100 G3 (DT100G3/128GB),Kingston,,під замовлення,нове,,flesh-nakopychuvach-usb3-0-128g-kingston-datatraveler-100-g3.jpg,"USB-накопичувач DataTraveler 100 G3 (DT100G3) компанії Kingston відповідає специфікаціям нового покоління USB 3.0 і дозволяє використовувати всі переваги новітніх технологій, що використовуються у сучасних ноутбуках, настільних комп'ютерах та інших цифрових пристроях. З накопичувачем DT100G3 зберігання та передача документів, презентацій, музики, відео та вирішення інших завдань стає швидше та простіше. DT100G3 має низьку вартість, що забезпечує економічно ефективний перехід на технологію USB 3.0. Подвійна сумісність – USB 3.0, зворотна сумісність із USB 2.0. ""> Основні характеристики: Інтерфейс: USB 3.1 Об'єм пам'яті: 128 ГБ Швидкість запису: 10 Мб/сек Швидкість зчитування: 100 Мб/сек"
Накопичувачи,Флеш-накопичувач USB3.0 16G Kingston DataTraveler 100 G3 (DT100G3/16GB),Kingston,,під замовлення,нове,,,"USB-накопичувач DataTraveler 100 G3 (DT100G3) компанії Kingston відповідає специфікаціям нового покоління USB 3.0 і дозволяє використовувати всі переваги новітніх технологій, що використовуються в сучасних ноутбуках, настільних комп'ютерах та інших цифрових пристроях. З накопичувачем DT100G3 зберігання та передача документів, презентацій, музики, відео та вирішення інших завдань стає швидше та простіше. DT100G3 має невисоку вартість, що забезпечує економічно ефективний перехід на технологію USB 3.0. Накопичувач DT100G3 доступний у варіантах ємності 8ГБ-64ГБ, підтримує зворотну сумісність з USB 2.0. Гарантія 60 міс. Швидкість Зчитування 40 Мб/сек Швидкість Записи 10 Мб/сек Габарити 60 x 21,2 x 10 мм Інтерфейс USB 3.0"
Накопичувачи,Флеш-накопичувач USB3.0 32G Kingston DataTraveler 100 G3 (DT100G3/32GB),Kingston,212,в наявності,нове,,flesh-nakopychuvach-usb3-0-32g-kingston-datatraveler-100-g3.jpg,"USB-накопичувач DataTraveler 100 G3 (DT100G3) компанії Kingston відповідає специфікаціям нового покоління USB 3.0 і дозволяє використовувати всі переваги новітніх технологій, що використовуються в сучасних ноутбуках, настільних комп'ютерах та інших цифрових пристроях. З накопичувачем DT100G3 зберігання та передача документів, презентацій, музики, відео та вирішення інших завдань стає швидше та простіше. DT100G3 має невисоку вартість, що забезпечує економічно ефективний перехід на технологію USB 3.0. Накопичувач DT100G3 доступний у варіантах ємності 8ГБ-64ГБ, підтримує зворотну сумісність з USB 2.0. > Гарантія 60 міс. Швидкість Зчитування 40 Мб/сек Швидкість Записи 10 Мб/сек Габарити 60 x 21,2 x 10 мм Інтерфейс USB 3.0"
Накопичувачи,Флеш-накопичувач USB3.0 64G Kingston DataTraveler 100 G3 (DT100G3/64GB),Kingston,393,в наявності,нове,,,"USB-накопичувач DataTraveler 100 G3 (DT100G3) компанії Kingston відповідає специфікаціям нового покоління USB 3.0 і дозволяє використовувати всі переваги новітніх технологій, що використовуються в сучасних ноутбуках, настільних комп'ютерах та інших цифрових пристроях. З накопичувачем DT100G3 зберігання та передача документів, презентацій, музики, відео та вирішення інших завдань стає швидше та простіше. DT100G3 має невисоку вартість, що забезпечує економічно ефективний перехід на технологію USB 3.0. Накопичувач DT100G3 доступний у варіантах ємності 8ГБ-64ГБ, підтримує зворотну сумісність з USB 2.0. > Гарантія 60 міс. Швидкість Зчитування 40 Мб/сек Швидкість Записи 10 Мб/сек Габарити 60 x 21,2 x 10 мм Інтерфейс USB 3.0"
Накопичувачи,Флеш-накопичувач USB3.0 64GB GOODRAM Twister Black (UTS3-0640K0R11),,570,в наявності,нове,,flesh-nakopychuvach-usb3-0-64gb-goodram-twister-black-uts3-0.jpg,"Основні характеристики Інтерфейс USB 3.0 Об'єм пам'яті 64 ГБ Швидкість зчитування 110 Мб/с Швидкість запису 30 Мб/с Опис Універсальність та функціональність – це найважливіші властивості GOODRAM UTS3. Міцний корпус з металевою поворотною скобою не тільки чудово захищає дані, що зберігаються, але й дозволяє не турбуватися про ковпачок, який може загубитися. GOODRAM UTS3, на відміну від аналогічних продуктів на ринку, характеризується фірмовими компонентами та довічною гарантією, а також швидким інтерфейсом 3.0. GOODRAM UTS3 оснащений сучасним інтерфейсом USB 3.0, що дозволило значно збільшити швидкість, порівняно з попередніми рішеннями. Завдяки швидкості передачі, ви заощаджуєте час і можете швидко скопіювати свої дані. Ви можете скористатись пам'яттю в пристроях, оснащених як портом USB 3.0, так і старою версією USB-роз'єму."
Накопичувачи,Флеш-накопичувач USB3.2 128GB Kingston DataTraveler Exodia M Black/Red (DTXM/128GB),Kingston,533,в наявності,нове,60 міс.,flesh-nakopychuvach-usb3-2-128gb-kingston-datatraveler-exodi.jpg,"Накопичувач DataTraveler Exodia компанії Kingston забезпечує продуктивність USB 3.2 Gen 1 для простого доступу до ноутбуків, настільних ПК, моніторів та інших цифрових пристроїв. DT Exodia дозволяє швидко передавати та зручно зберігати документи, музику, відеофайли тощо. Практична конструкція та стильні кольори роблять цей накопичувач ідеальним рішенням для повсякденного використання на роботі, вдома, у школі чи будь-якому іншому місці. Доступні варіанти ємності DT Exodia до 256 ГБ. Накопичувач забезпечується п'ятирічною гарантією, безкоштовною технічною підтримкою та відрізняється легендарною надійністю, характерною для всієї продукції Kingston. Основні характеристики: Виробник: Kingston Термін гарантії: 60 міс. Об'єм пам'яті: 128 ГБ Інтерфейс: USB 3.2 Швидкість зчитування: немає даних Швидкість запису: немає даних Матеріал корпусу: пластик"
Накопичувачи,Флеш-накопичувач USB3.2 128GB Type-C Kingston DataTraveler 70 Black (DT70/128GB),Kingston,533,в наявності,нове,60 міс.,flesh-nakopychuvach-usb3-2-128gb-type-c-kingston-datatravele.jpg,"Kingston DataTraveler 70 - це портативний флеш-накопичувач USB-C, що підтримує швидкість USB 3.2 Gen 1. Він призначений для використання із сумісними пристроями USB-C, такими як ноутбуки, планшети та телефони. Накопичувач DataTraveler70 випускається ємністю 128ГБ, що є достатнім для записування та зберігання даних при повсякденному використанні. На продукт надається 5-річна гарантія та безкоштовна технічна підтримка. Пам'ять із інтерфейсом USB-C Для використання з пристроями USB-C, такими як ноутбуки, планшети та смартфони. Швидкість USB 3.2 Gen 1 Забезпечує швидкість передачі даних до 10 разів вищу, ніж у USB 2.0. Основні характеристики: Виробник: Kingston Термін гарантії: 60 міс. Інтерфейс: USB 3.2 Type-C Об'єм пам'яті: 128 ГБ Швидкість зчитування: немає даних Швидкість запису: немає даних Матеріал корпусу: пластик"
Накопичувачи,Флеш-накопичувач USB3.2 64GB Kingston DataTraveler Exodia M Black/Blue (DTXM/64GB),Kingston,426,в наявності,нове,,flesh-nakopychuvach-usb3-2-64gb-kingston-datatraveler-exodia.jpg,"Накопичувач DataTraveler Exodia компанії Kingston забезпечує продуктивність USB 3.2 Gen 1 для простого доступу до ноутбуків, настільним ПК, моніторів і інших цифрових пристроїв. DT Exodia дозволяє швидко передавати і зручно зберігати документи, музику, відеофайли і так далі. Практична конструкція і стильні кольори роблять цей накопичувач ідеальним рішенням для повсякденного використання на роботі, вдома, в школі або будь-якому іншому місці. Доступні варіанти ємності DT Exodia до 256 ГБ. Накопичувач забезпечується п""ятирічною гарантією, безкоштовною технічною підтримкою і відрізняється легендарної надійністю, характерною для всієї продукції Kingston. Основнi характеристики Об'єм пам'яті 64 ГБ Інтерфейс USB 3.2 Матеріал корпусу пластик Габарити 67.4 x 21.8 x 11.6 мм Колір чорний із синім"
Накопичувачи,Флеш-накопичувач USB3.2 64GB Type-C Kingston DataTraveler 70 Black (DT7064GB),Kingston,344,в наявності,нове,,flesh-nakopychuvach-usb3-2-64gb-type-c-kingston-datatraveler.jpg,"Kingston DataTraveler 70 - це портативний флеш-накопичувач USB-C, що підтримує швидкість USB 3.2 Gen 1. Він призначений для використання із сумісними пристроями USB-C, такими як ноутбуки, планшети та телефони. Накопичувач DataTraveler70 випускається ємністю 64ГБ, що є достатнім для записування та зберігання даних при повсякденному використанні. На продукт надається 5-річна гарантія та безкоштовна технічна підтримка. Пам'ять із інтерфейсом USB-C Для використання з пристроями USB-C, такими як ноутбуки, планшети та смартфони. Швидкість USB 3.2 Gen 1 Забезпечує швидкість передачі даних до 10 разів вищу, ніж у USB 2.0. Основні характеристики: Інтерфейс: USB 3.2 Type-C Об'єм пам'яті: 64 ГБ Швидкість зчитування: немає даних Швидкість запису: немає даних Фізичні характеристики: Матеріал корпусу: пластик"
